Specimen,Institution,Species,Sex,Width,Height,fWHR_raw,Geomean,fWHR
806,RMCA,Gbg,Female,150.44,109.8,1.370127505,128.5235854,0.010660514
807,RMCA,Gbg,Female,150.99,104.64,1.442947248,125.6964343,0.01147962
812,RMCA,Gbg,Female,147.72,105.08,1.405786068,124.5889947,0.011283389
813,RMCA,Gbg,Female,146.19,108.26,1.350360244,125.8035349,0.010733882
833,RMCA,Gbg,Female,140.96,111.61,1.262969268,125.4294447,0.010069161
995,RMCA,Gbg,Female,151.5,106.12,1.427629099,126.7958201,0.011259276
9424,RMCA,Gbg,Female,177.18,126.49,1.400743142,149.7047033,0.009356708
11725,RMCA,Gbg,Female,153.13,108.52,1.411076299,128.9095326,0.010946253
14615,RMCA,Gbg,Female,151.42,108.25,1.398799076,128.0281805,0.010925712
14769,RMCA,Gbg,Female,139.1,95.89,1.450620503,115.4915538,0.012560403
14912,RMCA,Gbg,Female,150.87,99.81,1.511571987,122.7124065,0.012318005
15290,RMCA,Gbg,Female,147.32,105.51,1.396265757,124.674509,0.011199288
15352,RMCA,Gbg,Female,146.62,106.81,1.37271791,125.1418483,0.010969295
15353,RMCA,Gbg,Female,152.95,106.57,1.435206906,127.6709893,0.011241449
15354,RMCA,Gbg,Female,143.09,109.53,1.306400073,125.1904457,0.010435302
15356,RMCA,Gbg,Female,148.17,116.17,1.27545838,131.197976,0.009721632
15357,RMCA,Gbg,Female,161.53,108.9,1.48328742,132.6296234,0.011183681
21533,RMCA,Gbg,Female,147.25,120.5,1.221991701,133.2051988,0.009173754
21537,RMCA,Gbg,Female,132.05,101.45,1.301626417,115.7431315,0.01124582
27839,RMCA,Gbg,Female,140.17,110.52,1.268277235,124.4652096,0.010189813
27840,RMCA,Gbg,Female,144.18,115.27,1.250802464,128.9171385,0.009702375
29102,RMCA,Gbg,Female,149.42,110.35,1.354055279,128.4075426,0.010544982
29104,RMCA,Gbg,Female,147.66,100.33,1.471743247,121.7157664,0.01209164
29538,RMCA,Gbg,Female,150.44,106.8,1.408614232,126.7556389,0.011112833
31132,RMCA,Gbg,Female,138.58,109.08,1.270443711,122.9483892,0.010333146
31133,RMCA,Gbg,Female,142.34,118.04,1.20586242,129.6218099,0.009302928
34476,RMCA,Gbg,Female,148.77,111.85,1.330084935,128.9958313,0.010311069
86044m07,RMCA,Gbg,Female,142.25,105.49,1.348469049,122.4987857,0.01100802
86044m08,RMCA,Gbg,Female,144.43,101.73,1.419738524,121.2141242,0.011712649
86044m09,RMCA,Gbg,Female,139.95,109.54,1.277615483,123.8148739,0.010318756
86044m19,RMCA,Gbg,Female,142.68,98.11,1.454286006,118.3145587,0.012291691
86044m20,RMCA,Gbg,Female,141.79,109.52,1.294649379,124.6147696,0.010389213
86044m21,RMCA,Gbg,Female,141.68,99.96,1.417366947,119.0055999,0.011910086
86044m22,RMCA,Gbg,Female,143,108.58,1.317001289,124.6071427,0.010569228
86044m23,RMCA,Gbg,Female,135.61,100.98,1.342939196,117.0209289,0.01147606
86044m24,RMCA,Gbg,Female,139.32,101.94,1.366686286,119.1733225,0.011468056
86044m25,RMCA,Gbg,Female,129.14,108.76,1.187385068,118.5127267,0.010019051
804,RMCA,Gbg,Male,174.38,139,1.254532374,155.6882141,0.008057979
994,RMCA,Gbg,Male,165.37,129.58,1.276200031,146.3852609,0.008718091
998,RMCA,Gbg,Male,168.77,131.74,1.281083953,149.1098917,0.008591542
999,RMCA,Gbg,Male,174.48,136.46,1.278616444,154.303405,0.008286379
1000,RMCA,Gbg,Male,181.09,141.47,1.280059377,160.0587464,0.007997435
1001,RMCA,Gbg,Male,180.89,126.44,1.430639038,151.2340292,0.009459769
10051,RMCA,Gbg,Male,183.42,140.42,1.306224185,160.4862499,0.008139166
15234,RMCA,Gbg,Male,176.09,137.68,1.278980244,155.7050776,0.00821412
15573,RMCA,Gbg,Male,175.24,127.28,1.37680704,149.3470696,0.009218842
15574,RMCA,Gbg,Male,185.5,150.65,1.231330899,167.1693004,0.007365772
17770,RMCA,Gbg,Male,173.37,140.73,1.23193349,156.1997442,0.007886911
18191,RMCA,Gbg,Male,177.62,120.64,1.472314324,146.3833215,0.010057938
18739,RMCA,Gbg,Male,181.87,126.36,1.439300412,151.5951622,0.009494369
20085,RMCA,Gbg,Male,182.69,138.9,1.315262779,159.2973352,0.008256653
21538,RMCA,Gbg,Male,170.47,135.32,1.259754656,151.8815341,0.008294324
22762,RMCA,Gbg,Male,172.48,129.94,1.327381869,149.7065503,0.008866558
22763,RMCA,Gbg,Male,163.28,129.73,1.258614045,145.5414525,0.008647805
22903,RMCA,Gbg,Male,177.18,136.83,1.294891471,155.7033699,0.0083164
22924,RMCA,Gbg,Male,182.21,142.19,1.281454392,160.9609888,0.007961273
24001,RMCA,Gbg,Male,168.51,139.96,1.203986853,153.5729781,0.007839835
26206,RMCA,Gbg,Male,177.58,139.3,1.274802584,157.2796681,0.008105323
27108,RMCA,Gbg,Male,163.68,124.18,1.318086648,142.5685183,0.009245285
27495,RMCA,Gbg,Male,166.58,138.69,1.201095969,151.9966454,0.007902122
27759,RMCA,Gbg,Male,178.85,139.44,1.282630522,157.9203723,0.008122008
27841,RMCA,Gbg,Male,175.06,137.58,1.272423317,155.1926377,0.008198993
29099,RMCA,Gbg,Male,167.17,130.94,1.276691614,147.9501261,0.008629203
29101,RMCA,Gbg,Male,169.9,129.46,1.312374479,148.3079701,0.008848981
29317,RMCA,Gbg,Male,180.55,144.02,1.253645327,161.2538713,0.007774358
31131,RMCA,Gbg,Male,177.95,138.53,1.284559301,157.0076861,0.008181506
86044m01,RMCA,Gbg,Male,170.14,147.38,1.154430723,158.3516126,0.0072903
86044m03,RMCA,Gbg,Male,172.98,127.19,1.36001258,148.3284403,0.009168927
86044m04,RMCA,Gbg,Male,169.68,129.71,1.308148948,148.3549554,0.008817696
86044m05,RMCA,Gbg,Male,168.83,135.2,1.248742604,151.0821498,0.008265322
86044m06,RMCA,Gbg,Male,172.6,142.6,1.210378682,156.8845435,0.007715092
86044m10,RMCA,Gbg,Male,160.44,122.8,1.306514658,140.363927,0.009308051
86044m11,RMCA,Gbg,Male,173.28,151.54,1.143460472,162.0458306,0.007056402
86044m13,RMCA,Gbg,Male,160.84,133.46,1.205155103,146.5117961,0.008225652
86044m14,RMCA,Gbg,Male,177.33,132.23,1.341072374,153.1285274,0.008757822
